country,iso3,metric_id,latest_observation_year,latest_value,source_id,source_indicator_id,years_behind_metric_max
United States,USA,gdp_current_usd,2025,30769700000000.0,world_bank_wdi,NY.GDP.MKTP.CD,0
China,CHN,gdp_current_usd,2025,19498039388042.6,world_bank_wdi,NY.GDP.MKTP.CD,0
Germany,DEU,gdp_current_usd,2025,5050922925047.05,world_bank_wdi,NY.GDP.MKTP.CD,0
Japan,JPN,gdp_current_usd,2025,4435162999976.94,world_bank_wdi,NY.GDP.MKTP.CD,0
United Kingdom,GBR,gdp_current_usd,2025,4002587541846.01,world_bank_wdi,NY.GDP.MKTP.CD,0
India,IND,gdp_current_usd,2025,3956067115771.63,world_bank_wdi,NY.GDP.MKTP.CD,0
France,FRA,gdp_current_usd,2025,3366315927447.33,world_bank_wdi,NY.GDP.MKTP.CD,0
Russian Federation,RUS,gdp_current_usd,2025,2561310169358.74,world_bank_wdi,NY.GDP.MKTP.CD,0
Italy,ITA,gdp_current_usd,2025,2551556954100.35,world_bank_wdi,NY.GDP.MKTP.CD,0
Canada,CAN,gdp_current_usd,2025,2319899772425.92,world_bank_wdi,NY.GDP.MKTP.CD,0
Brazil,BRA,gdp_current_usd,2025,2279920092492.13,world_bank_wdi,NY.GDP.MKTP.CD,0
Spain,ESP,gdp_current_usd,2025,1906453309985.88,world_bank_wdi,NY.GDP.MKTP.CD,0
"Korea, Rep.",KOR,gdp_current_usd,2025,1872374961553.15,world_bank_wdi,NY.GDP.MKTP.CD,0
Mexico,MEX,gdp_current_usd,2025,1832641364775.52,world_bank_wdi,NY.GDP.MKTP.CD,0
Australia,AUS,gdp_current_usd,2025,1798518933689.21,world_bank_wdi,NY.GDP.MKTP.CD,0
Turkiye,TUR,gdp_current_usd,2025,1597293229287.0,world_bank_wdi,NY.GDP.MKTP.CD,0
Indonesia,IDN,gdp_current_usd,2025,1445642584163.81,world_bank_wdi,NY.GDP.MKTP.CD,0
Netherlands,NLD,gdp_current_usd,2025,1332767651100.39,world_bank_wdi,NY.GDP.MKTP.CD,0
Saudi Arabia,SAU,gdp_current_usd,2025,1276942933333.33,world_bank_wdi,NY.GDP.MKTP.CD,0
Switzerland,CHE,gdp_current_usd,2025,1043529899250.92,world_bank_wdi,NY.GDP.MKTP.CD,0
Poland,POL,gdp_current_usd,2025,1035491784197.44,world_bank_wdi,NY.GDP.MKTP.CD,0
Belgium,BEL,gdp_current_usd,2025,725466462859.646,world_bank_wdi,NY.GDP.MKTP.CD,0
Ireland,IRL,gdp_current_usd,2025,721701359046.313,world_bank_wdi,NY.GDP.MKTP.CD,0
Argentina,ARG,gdp_current_usd,2025,683097891618.597,world_bank_wdi,NY.GDP.MKTP.CD,0
Sweden,SWE,gdp_current_usd,2025,668998664082.081,world_bank_wdi,NY.GDP.MKTP.CD,0
Israel,ISR,gdp_current_usd,2025,610777842873.595,world_bank_wdi,NY.GDP.MKTP.CD,0
Singapore,SGP,gdp_current_usd,2025,603869516998.738,world_bank_wdi,NY.GDP.MKTP.CD,0
Austria,AUT,gdp_current_usd,2025,579470021095.418,world_bank_wdi,NY.GDP.MKTP.CD,0
Thailand,THA,gdp_current_usd,2025,577009981112.015,world_bank_wdi,NY.GDP.MKTP.CD,0
Norway,NOR,gdp_current_usd,2025,530755719438.879,world_bank_wdi,NY.GDP.MKTP.CD,0
Viet Nam,VNM,gdp_current_usd,2025,514697215165.065,world_bank_wdi,NY.GDP.MKTP.CD,0
Philippines,PHL,gdp_current_usd,2025,487086123720.417,world_bank_wdi,NY.GDP.MKTP.CD,0
Malaysia,MYS,gdp_current_usd,2025,472193128644.597,world_bank_wdi,NY.GDP.MKTP.CD,0
Denmark,DNK,gdp_current_usd,2025,462526660468.393,world_bank_wdi,NY.GDP.MKTP.CD,0
Colombia,COL,gdp_current_usd,2025,457410034202.523,world_bank_wdi,NY.GDP.MKTP.CD,0
Bangladesh,BGD,gdp_current_usd,2025,456319229255.578,world_bank_wdi,NY.GDP.MKTP.CD,0
Romania,ROU,gdp_current_usd,2025,428677977854.826,world_bank_wdi,NY.GDP.MKTP.CD,0
"Hong Kong SAR, China",HKG,gdp_current_usd,2025,427310315921.993,world_bank_wdi,NY.GDP.MKTP.CD,0
South Africa,ZAF,gdp_current_usd,2025,427184325997.307,world_bank_wdi,NY.GDP.MKTP.CD,0
Pakistan,PAK,gdp_current_usd,2025,407307214476.222,world_bank_wdi,NY.GDP.MKTP.CD,0
Czechia,CZE,gdp_current_usd,2025,391026962800.475,world_bank_wdi,NY.GDP.MKTP.CD,0
"Egypt, Arab Rep.",EGY,gdp_current_usd,2025,365254630179.737,world_bank_wdi,NY.GDP.MKTP.CD,0
"Iran, Islamic Rep.",IRN,gdp_current_usd,2025,362682115433.364,world_bank_wdi,NY.GDP.MKTP.CD,0
Chile,CHL,gdp_current_usd,2025,357371159574.862,world_bank_wdi,NY.GDP.MKTP.CD,0
Portugal,PRT,gdp_current_usd,2025,346639825141.821,world_bank_wdi,NY.GDP.MKTP.CD,0
Peru,PER,gdp_current_usd,2025,334854659181.893,world_bank_wdi,NY.GDP.MKTP.CD,0
Finland,FIN,gdp_current_usd,2025,317039368819.607,world_bank_wdi,NY.GDP.MKTP.CD,0
Kazakhstan,KAZ,gdp_current_usd,2025,306239209650.024,world_bank_wdi,NY.GDP.MKTP.CD,0
