rank,selected,iso3,country,gdp_value,observation_year,source_id,source_indicator_id,territory_classification
1,True,USA,United States,30769700000000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
2,True,CHN,China,19498039388042.6,2025,world_bank_wdi,NY.GDP.MKTP.CD,
3,True,DEU,Germany,5050922925047.05,2025,world_bank_wdi,NY.GDP.MKTP.CD,
4,True,JPN,Japan,4435162999976.94,2025,world_bank_wdi,NY.GDP.MKTP.CD,
5,True,GBR,United Kingdom,4002587541846.01,2025,world_bank_wdi,NY.GDP.MKTP.CD,
6,True,IND,India,3956067115771.63,2025,world_bank_wdi,NY.GDP.MKTP.CD,
7,True,FRA,France,3366315927447.33,2025,world_bank_wdi,NY.GDP.MKTP.CD,
8,True,RUS,Russian Federation,2561310169358.74,2025,world_bank_wdi,NY.GDP.MKTP.CD,
9,True,ITA,Italy,2551556954100.35,2025,world_bank_wdi,NY.GDP.MKTP.CD,
10,True,CAN,Canada,2319899772425.92,2025,world_bank_wdi,NY.GDP.MKTP.CD,
11,True,BRA,Brazil,2279920092492.13,2025,world_bank_wdi,NY.GDP.MKTP.CD,
12,True,ESP,Spain,1906453309985.88,2025,world_bank_wdi,NY.GDP.MKTP.CD,
13,True,KOR,"Korea, Rep.",1872374961553.15,2025,world_bank_wdi,NY.GDP.MKTP.CD,
14,True,MEX,Mexico,1832641364775.52,2025,world_bank_wdi,NY.GDP.MKTP.CD,
15,True,AUS,Australia,1798518933689.21,2025,world_bank_wdi,NY.GDP.MKTP.CD,
16,True,TUR,Turkiye,1597293229287.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
17,True,IDN,Indonesia,1445642584163.81,2025,world_bank_wdi,NY.GDP.MKTP.CD,
18,True,NLD,Netherlands,1332767651100.39,2025,world_bank_wdi,NY.GDP.MKTP.CD,
19,True,SAU,Saudi Arabia,1276942933333.33,2025,world_bank_wdi,NY.GDP.MKTP.CD,
20,True,CHE,Switzerland,1043529899250.92,2025,world_bank_wdi,NY.GDP.MKTP.CD,
21,True,POL,Poland,1035491784197.44,2025,world_bank_wdi,NY.GDP.MKTP.CD,
22,True,BEL,Belgium,725466462859.646,2025,world_bank_wdi,NY.GDP.MKTP.CD,
23,True,IRL,Ireland,721701359046.313,2025,world_bank_wdi,NY.GDP.MKTP.CD,
24,True,ARG,Argentina,683097891618.597,2025,world_bank_wdi,NY.GDP.MKTP.CD,
25,True,SWE,Sweden,668998664082.081,2025,world_bank_wdi,NY.GDP.MKTP.CD,
26,True,ISR,Israel,610777842873.595,2025,world_bank_wdi,NY.GDP.MKTP.CD,
27,True,SGP,Singapore,603869516998.738,2025,world_bank_wdi,NY.GDP.MKTP.CD,
28,True,AUT,Austria,579470021095.418,2025,world_bank_wdi,NY.GDP.MKTP.CD,
29,True,THA,Thailand,577009981112.015,2025,world_bank_wdi,NY.GDP.MKTP.CD,
30,True,NOR,Norway,530755719438.879,2025,world_bank_wdi,NY.GDP.MKTP.CD,
31,True,VNM,Viet Nam,514697215165.065,2025,world_bank_wdi,NY.GDP.MKTP.CD,
32,True,PHL,Philippines,487086123720.417,2025,world_bank_wdi,NY.GDP.MKTP.CD,
33,True,MYS,Malaysia,472193128644.597,2025,world_bank_wdi,NY.GDP.MKTP.CD,
34,True,DNK,Denmark,462526660468.393,2025,world_bank_wdi,NY.GDP.MKTP.CD,
35,True,COL,Colombia,457410034202.523,2025,world_bank_wdi,NY.GDP.MKTP.CD,
36,True,BGD,Bangladesh,456319229255.578,2025,world_bank_wdi,NY.GDP.MKTP.CD,
37,True,ROU,Romania,428677977854.826,2025,world_bank_wdi,NY.GDP.MKTP.CD,
38,True,HKG,"Hong Kong SAR, China",427310315921.993,2025,world_bank_wdi,NY.GDP.MKTP.CD,
39,True,ZAF,South Africa,427184325997.307,2025,world_bank_wdi,NY.GDP.MKTP.CD,
40,True,PAK,Pakistan,407307214476.222,2025,world_bank_wdi,NY.GDP.MKTP.CD,
41,True,CZE,Czechia,391026962800.475,2025,world_bank_wdi,NY.GDP.MKTP.CD,
42,True,EGY,"Egypt, Arab Rep.",365254630179.737,2025,world_bank_wdi,NY.GDP.MKTP.CD,
43,True,IRN,"Iran, Islamic Rep.",362682115433.364,2025,world_bank_wdi,NY.GDP.MKTP.CD,
44,True,CHL,Chile,357371159574.862,2025,world_bank_wdi,NY.GDP.MKTP.CD,
45,True,PRT,Portugal,346639825141.821,2025,world_bank_wdi,NY.GDP.MKTP.CD,
46,True,PER,Peru,334854659181.893,2025,world_bank_wdi,NY.GDP.MKTP.CD,
47,True,FIN,Finland,317039368819.607,2025,world_bank_wdi,NY.GDP.MKTP.CD,
48,True,KAZ,Kazakhstan,306239209650.024,2025,world_bank_wdi,NY.GDP.MKTP.CD,
49,True,NGA,Nigeria,290794361542.112,2025,world_bank_wdi,NY.GDP.MKTP.CD,
50,True,DZA,Algeria,287031225987.736,2025,world_bank_wdi,NY.GDP.MKTP.CD,
51,False,GRC,Greece,280635521324.441,2025,world_bank_wdi,NY.GDP.MKTP.CD,
52,False,NZL,New Zealand,264057413739.965,2025,world_bank_wdi,NY.GDP.MKTP.CD,
53,False,IRQ,Iraq,254367293538.462,2025,world_bank_wdi,NY.GDP.MKTP.CD,
54,False,HUN,Hungary,246490213513.054,2025,world_bank_wdi,NY.GDP.MKTP.CD,
55,False,QAT,Qatar,215559615384.615,2025,world_bank_wdi,NY.GDP.MKTP.CD,
56,False,UKR,Ukraine,214233312784.397,2025,world_bank_wdi,NY.GDP.MKTP.CD,
57,False,MAR,Morocco,182374250612.28,2025,world_bank_wdi,NY.GDP.MKTP.CD,
58,False,KWT,Kuwait,157209026926.418,2025,world_bank_wdi,NY.GDP.MKTP.CD,
59,False,SVK,Slovak Republic,154530066506.895,2025,world_bank_wdi,NY.GDP.MKTP.CD,
60,False,UZB,Uzbekistan,147038081129.405,2025,world_bank_wdi,NY.GDP.MKTP.CD,
61,False,KEN,Kenya,135941278878.815,2025,world_bank_wdi,NY.GDP.MKTP.CD,
62,False,BGR,Bulgaria,130777235529.606,2025,world_bank_wdi,NY.GDP.MKTP.CD,
63,False,ECU,Ecuador,130320560400.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
64,False,PRI,Puerto Rico (US),129368484000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
65,False,DOM,Dominican Republic,127407463759.043,2025,world_bank_wdi,NY.GDP.MKTP.CD,
66,False,ETH,Ethiopia,126358758448.356,2025,world_bank_wdi,NY.GDP.MKTP.CD,
67,False,GTM,Guatemala,123306008821.471,2025,world_bank_wdi,NY.GDP.MKTP.CD,
68,False,AGO,Angola,122174889423.635,2025,world_bank_wdi,NY.GDP.MKTP.CD,
69,False,GHA,Ghana,114209905278.717,2025,world_bank_wdi,NY.GDP.MKTP.CD,
70,False,OMN,Oman,109604780696.23,2025,world_bank_wdi,NY.GDP.MKTP.CD,
71,False,LKA,Sri Lanka,108825231671.196,2025,world_bank_wdi,NY.GDP.MKTP.CD,
72,False,HRV,Croatia,105060182186.274,2025,world_bank_wdi,NY.GDP.MKTP.CD,
73,False,CRI,Costa Rica,102904921157.478,2025,world_bank_wdi,NY.GDP.MKTP.CD,
74,False,LUX,Luxembourg,101157829491.107,2025,world_bank_wdi,NY.GDP.MKTP.CD,
75,False,SRB,Serbia,99953324472.9042,2025,world_bank_wdi,NY.GDP.MKTP.CD,
76,False,CIV,Cote d'Ivoire,99773555666.1988,2025,world_bank_wdi,NY.GDP.MKTP.CD,
77,False,VEN,"Venezuela, RB",99661244155.6306,2025,world_bank_wdi,NY.GDP.MKTP.CD,
78,False,LTU,Lithuania,95210150818.3512,2025,world_bank_wdi,NY.GDP.MKTP.CD,
79,False,BLR,Belarus,93397215864.198,2025,world_bank_wdi,NY.GDP.MKTP.CD,
80,False,COD,"Congo, Dem. Rep.",91030531316.9936,2025,world_bank_wdi,NY.GDP.MKTP.CD,
81,False,PAN,Panama,90462600000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
82,False,TZA,Tanzania,90143496090.4411,2025,world_bank_wdi,NY.GDP.MKTP.CD,
83,False,URY,Uruguay,85347696277.6859,2025,world_bank_wdi,NY.GDP.MKTP.CD,
84,False,MMR,Myanmar,81665773809.5238,2025,world_bank_wdi,NY.GDP.MKTP.CD,
85,False,SVN,Slovenia,79648204979.3618,2025,world_bank_wdi,NY.GDP.MKTP.CD,
86,False,AZE,Azerbaijan,75937647058.8235,2025,world_bank_wdi,NY.GDP.MKTP.CD,
87,False,BOL,Bolivia,64768947525.3256,2025,world_bank_wdi,NY.GDP.MKTP.CD,
88,False,UGA,Uganda,61985829288.1496,2025,world_bank_wdi,NY.GDP.MKTP.CD,
89,False,JOR,Jordan,61610052535.2113,2025,world_bank_wdi,NY.GDP.MKTP.CD,
90,False,SDN,Sudan,60162634574.4689,2025,world_bank_wdi,NY.GDP.MKTP.CD,
91,False,CMR,Cameroon,58933453923.761,2025,world_bank_wdi,NY.GDP.MKTP.CD,
92,False,TUN,Tunisia,57502836548.0878,2025,world_bank_wdi,NY.GDP.MKTP.CD,
93,False,MAC,"Macao SAR, China",52061007670.169,2025,world_bank_wdi,NY.GDP.MKTP.CD,
94,False,KHM,Cambodia,51267065842.9641,2025,world_bank_wdi,NY.GDP.MKTP.CD,
95,False,ZWE,Zimbabwe,51215643905.5886,2025,world_bank_wdi,NY.GDP.MKTP.CD,
96,False,TKM,Turkmenistan,49828621355.6516,2025,world_bank_wdi,NY.GDP.MKTP.CD,
97,False,PRY,Paraguay,49278227554.3339,2025,world_bank_wdi,NY.GDP.MKTP.CD,
98,False,BHR,Bahrain,48965725531.9149,2025,world_bank_wdi,NY.GDP.MKTP.CD,
99,False,LVA,Latvia,48618869160.3254,2025,world_bank_wdi,NY.GDP.MKTP.CD,
100,False,LBY,Libya,48098909613.6316,2025,world_bank_wdi,NY.GDP.MKTP.CD,
101,False,EST,Estonia,47030833798.5866,2025,world_bank_wdi,NY.GDP.MKTP.CD,
102,False,NPL,Nepal,45489810283.1132,2025,world_bank_wdi,NY.GDP.MKTP.CD,
103,False,CYP,Cyprus,41225787247.3309,2025,world_bank_wdi,NY.GDP.MKTP.CD,
104,False,HND,Honduras,39601409103.3005,2025,world_bank_wdi,NY.GDP.MKTP.CD,
105,False,ISL,Iceland,38582528789.0033,2025,world_bank_wdi,NY.GDP.MKTP.CD,
106,False,GEO,Georgia,38143612855.1367,2025,world_bank_wdi,NY.GDP.MKTP.CD,
107,False,SEN,Senegal,37006536238.3731,2025,world_bank_wdi,NY.GDP.MKTP.CD,
108,False,SLV,El Salvador,36708110000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
109,False,BIH,Bosnia and Herzegovina,32599982936.3931,2025,world_bank_wdi,NY.GDP.MKTP.CD,
110,False,PNG,Papua New Guinea,32498658653.8415,2025,world_bank_wdi,NY.GDP.MKTP.CD,
111,False,HTI,Haiti,32077278409.2339,2025,world_bank_wdi,NY.GDP.MKTP.CD,
112,False,ALB,Albania,30540188271.3421,2025,world_bank_wdi,NY.GDP.MKTP.CD,
113,False,MLI,Mali,30069148580.7688,2025,world_bank_wdi,NY.GDP.MKTP.CD,
114,False,ARM,Armenia,29243452882.3545,2025,world_bank_wdi,NY.GDP.MKTP.CD,
115,False,ZMB,Zambia,28879806220.1264,2025,world_bank_wdi,NY.GDP.MKTP.CD,
116,False,GIN,Guinea,28346024753.2924,2025,world_bank_wdi,NY.GDP.MKTP.CD,
117,False,MLT,Malta,27771821560.9411,2025,world_bank_wdi,NY.GDP.MKTP.CD,
118,False,BFA,Burkina Faso,27627297461.3181,2025,world_bank_wdi,NY.GDP.MKTP.CD,
119,False,GUY,Guyana,27097477218.2254,2025,world_bank_wdi,NY.GDP.MKTP.CD,
120,False,TTO,Trinidad and Tobago,25942749718.4685,2025,world_bank_wdi,NY.GDP.MKTP.CD,
121,False,MNG,Mongolia,25369107325.4549,2025,world_bank_wdi,NY.GDP.MKTP.CD,
122,False,BEN,Benin,24566420903.5337,2025,world_bank_wdi,NY.GDP.MKTP.CD,
123,False,JAM,Jamaica,22704903217.5631,2025,world_bank_wdi,NY.GDP.MKTP.CD,
124,False,KGZ,Kyrgyz Republic,22623752095.4613,2025,world_bank_wdi,NY.GDP.MKTP.CD,
125,False,MOZ,Mozambique,22337997046.1913,2025,world_bank_wdi,NY.GDP.MKTP.CD,
126,False,NIC,Nicaragua,22237167113.0916,2025,world_bank_wdi,NY.GDP.MKTP.CD,
127,False,NER,Niger,21646191388.2507,2025,world_bank_wdi,NY.GDP.MKTP.CD,
128,False,TCD,Chad,21472835225.4338,2025,world_bank_wdi,NY.GDP.MKTP.CD,
129,False,GAB,Gabon,21427119323.2764,2025,world_bank_wdi,NY.GDP.MKTP.CD,
130,False,MDA,Moldova,20351796275.2943,2025,world_bank_wdi,NY.GDP.MKTP.CD,
