iso3,country,reason
ABW,Aruba,missing GDP value in reference year 2025
AFG,Afghanistan,missing GDP value in reference year 2025
ARE,United Arab Emirates,missing GDP value in reference year 2025
ASM,American Samoa,missing GDP value in reference year 2025
BHS,"Bahamas, The",missing GDP value in reference year 2025
BMU,Bermuda,missing GDP value in reference year 2025
CHI,Channel Islands,missing GDP value in reference year 2025
CUB,Cuba,missing GDP value in reference year 2025
CUW,Curacao,missing GDP value in reference year 2025
CYM,Cayman Islands,missing GDP value in reference year 2025
ERI,Eritrea,missing GDP value in reference year 2025
FRO,Faroe Islands,missing GDP value in reference year 2025
GIB,Gibraltar,missing GDP value in reference year 2025
GRL,Greenland,missing GDP value in reference year 2025
GUM,Guam,missing GDP value in reference year 2025
IMN,Isle of Man,missing GDP value in reference year 2025
LBN,Lebanon,missing GDP value in reference year 2025
LIE,Liechtenstein,missing GDP value in reference year 2025
MAF,St. Martin (French part),missing GDP value in reference year 2025
MCO,Monaco,missing GDP value in reference year 2025
MNP,Northern Mariana Islands,missing GDP value in reference year 2025
NCL,New Caledonia,missing GDP value in reference year 2025
PRK,"Korea, Dem. People's Rep.",missing GDP value in reference year 2025
PYF,French Polynesia,missing GDP value in reference year 2025
SMR,San Marino,missing GDP value in reference year 2025
SSD,South Sudan,missing GDP value in reference year 2025
SYR,Syrian Arab Republic,missing GDP value in reference year 2025
TCA,Turks and Caicos Islands,missing GDP value in reference year 2025
VGB,British Virgin Islands,missing GDP value in reference year 2025
VIR,Virgin Islands (U.S.),missing GDP value in reference year 2025
YEM,"Yemen, Rep.",missing GDP value in reference year 2025
