COUNTRY,OBS_VALUE,LATEST_ACTUAL_ANNUAL_DATA,boundary_normalised,classification,observation_class
ABW,4284780000,2023,2023,economy,estimate
AFG,17816729000,FY2024/25,2024,economy,actual
AGO,119574114000,2024,2024,economy,actual
ALB,27083523000,2024,2024,economy,actual
AND,4042159000,2025,2025,economy,actual
ARE,552324847000,2024,2024,economy,actual
ARG,637234361000,2025,2025,economy,actual
ARM,25955275000,2025,2025,economy,actual
ATG,2162363000,2024,2024,economy,actual
AUS,1799417810000,2025,2025,economy,actual
AUT,534629641000,2025,2025,economy,actual
AZE,74426000000,2024,2024,economy,actual
BDI,4838322000,2024,2024,economy,actual
BEL,671168157000,2024,2024,economy,actual
BEN,21487287000,2024,2024,economy,actual
BFA,23129725000,2024,2024,economy,actual
BGD,450461024000,FY2024/25,2024,economy,actual
BGR,113363852000,2025,2025,economy,actual
BHR,47209628000,2024,2024,economy,actual
BHS,15832778000,2024,2024,economy,actual
BIH,29738058000,2024,2024,economy,actual
BLR,78846899000,2024,2024,economy,actual
BLZ,3203632000,2024,2024,economy,actual
BOL,55281337000,2025,2025,economy,actual
BRA,2185822364000,2025,2025,economy,actual
BRB,7597571000,2024,2024,economy,actual
BRN,15334492000,2024,2024,economy,actual
BTN,3147378000,FY2023/24,2023,economy,estimate
BWA,19356320000,2024,2024,economy,actual
CAF,2867888000,2019,2019,economy,estimate
CAN,2270076190000,2025,2025,economy,actual
CHE,970189555000,2025,2025,economy,actual
CHL,330209569000,2025,2025,economy,actual
CHN,18945112489000,2025,2025,economy,actual
CIV,87131998000,2024,2024,economy,actual
CMR,53308252000,2024,2024,economy,actual
COD,76730994000,2023,2023,economy,estimate
COG,14774407000,2022,2022,economy,estimate
COL,420504033000,2025,2025,economy,actual
COM,1442017000,2024,2024,economy,actual
CPV,2725913000,2024,2024,economy,actual
CRI,96730389000,2025,2025,economy,actual
CYP,37623146000,2025,2025,economy,actual
CZE,347082562000,2025,2025,economy,actual
DEU,4684181804000,2025,2025,economy,actual
DJI,4152146000,2024,2024,economy,actual
DMA,688881000,2024,2024,economy,actual
DNK,424524750000,2025,2025,economy,actual
DOM,124612989000,2025,2025,economy,actual
DZA,269139949000,2024,2024,economy,actual
ECU,123802374000,2025,2025,economy,actual
EGY,383105243000,FY2024/25,2024,economy,actual
ESP,1725152074000,2025,2025,economy,actual
EST,43117440000,2025,2025,economy,actual
ETH,142072517000,FY2024/25,2024,economy,actual
FIN,298639489000,2024,2024,economy,actual
FJI,5968126000,2024,2024,economy,actual
FRA,3161041745000,2025,2025,economy,actual
